BoroCT2010,RE80_Quad,IE80_Quad,CE80_Quad,RE90_Quad,IE90_Quad,CE90_Quad,RE00_Quad,IE00_Quad,CE00_Quad,RE10_Quad,IE10_Quad,CE10_Quad,RE11_Quad,IE11_Quad,CE11_Quad,RE12_Quad,IE12_Quad,CE12_Quad,RE13_Quad,IE13_Quad,CE13_Quad,RE14_Quad,IE14_Quad,CE14_Quad,RE15_Quad,IE15_Quad,CE15_Quad,RE16_Quad,IE16_Quad,CE16_Quad
3028400,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
3028501,0,3,3,0,3,3,0,3,3,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3028800,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
3029100,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3029300,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3029700,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
3029800,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
3030000,3,3,3,0,3,3,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
3030500,0,3,3,0,3,3,0,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3030900,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,0,0,3,0,0,0
3031701,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
3032300,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
3032600,1,3,3,1,3,3,1,3,3,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0
3032900,0,3,3,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3033100,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3033700,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3033900,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
